genre,total_streams,chart_appearances,avg_position,rank
samba reggae,17140944.88901099,515,79.85,1196
swedish country,16982757.366666675,338,132.35,1197
colombian rock,16635109.662923163,1310,98.83,1198
australian alternative rock,16611510.046031747,246,141.46,1199
gulf hip hop,16580435.24999999,938,94.74,1200
sudanese pop,16576699.182013094,256,97.76,1201
talentkonkurranse,16487280.25,509,122.32,1202
canadian electropop,16223889.636431616,456,128.7,1203
norske viser,16187628.898015868,552,108.16,1204
turin indie,16107423.066666668,145,103.01,1205
pop costarricense,16093664.410714278,376,109.69,1206
operatic pop,16036084.848809531,281,124.65,1207
afghan rap,16018068.116666665,168,108.82,1208
sunshine pop,15768952.452380955,140,139.81,1209
reggae en espanol,15741547.227795063,1479,129.12,1210
canadian country,15735350.741666667,578,123.26,1211
indian fusion,15684149.54166666,220,82.63,1212
indian folk,15675489.843650788,178,136.35,1213
sudanese hip hop,15614692.182013094,229,103.49,1214
korean mask singer,15604282.233333329,296,95.19,1215
j-idol,15590572.083333332,609,126.67,1216
rap kreyol,15540560.045238096,582,120.81,1217
japanese dance pop,15538338.133333338,203,91.48,1218
josei rap,15407208.583333334,238,110.68,1219
kyrgyz hip hop,15394159.0,453,45.87,1220
electro-pop francais,15279123.162698422,524,118.29,1221
musica santomense,15216596.35,705,93.43,1222
oldschool deutschrap,15208438.392063497,279,112.84,1223
devon indie,15166389.555555549,282,123.47,1224
folk,15105406.631478315,994,161.53,1225
kindermusik,15075887.5,64,123.42,1226
neue neue deutsche welle,15056569.25,35,105.86,1227
semarang indie,15032972.066666663,26,53.0,1228
classic kollywood,14765187.400000002,61,86.23,1229
french indietronica,14736710.742857147,324,108.23,1230
lo-fi product,14723578.666666662,229,101.28,1231
birmingham indie,14690298.174206344,159,116.08,1232
austrian pop,14650281.7,824,102.4,1233
orebro indie,14632205.0,74,97.86,1234
epa dunk,14623907.666666664,148,122.09,1235
austropop,14612470.326190483,966,125.78,1236
pakistani indie,14609272.023809526,812,87.6,1237
danseband,14522837.1642857,606,137.94,1238
russian punk,14314451.66071428,792,105.02,1239
hungarian edm,14307949.999999998,1494,103.32,1240
chinese electropop,14305098.162698422,764,110.82,1241
neomelodici,14257303.833333336,84,130.67,1242
deep tech house,14252794.058116889,570,119.02,1243
malaysian hip hop,14134570.820634924,841,119.66,1244
cameroonian pop,14100243.904761909,274,84.09,1245
indonesian edm,14089775.333333332,108,125.74,1246
salsa urbana,14041023.066666655,602,117.05,1247
nu disco,14027348.682539677,626,126.49,1248
deep breakcore,13964640.600000005,55,66.67,1249
j-punk,13942163.357142858,459,106.41,1250
moldovan pop,13937691.047619045,865,106.39,1251
turkish psych,13936575.183333334,147,129.08,1252
cancion melodica,13928488.365243893,347,132.61,1253
turkce remix,13892487.083333336,135,104.7,1254
dansktop,13758215.249999998,474,131.99,1255
ecuadorian pop,13715522.585317448,1653,119.32,1256
battle rap,13709074.725971257,152,122.04,1257
swiss indie,13685455.557142856,763,125.51,1258
norteno-sax,13661085.883333335,67,109.4,1259
dubstep,13617952.84930348,293,93.42,1260
bulgarian hip hop,13586249.886904761,4308,104.87,1261
channel islands indie,13558388.966269843,457,129.01,1262
malang indie,13481173.666666666,98,87.95,1263
lo-fi cover,13453529.666666662,220,99.44,1264
nerdcore brasileiro,13423243.5,36,88.92,1265
russian indie rock,13377226.58333334,291,106.45,1266
romanian house,13365111.576923082,1148,120.71,1267
scottish techno,13283773.5,79,85.25,1268
jewish pop,13264876.927272711,727,95.24,1269
brazilian bass,13215117.510256417,127,119.96,1270
zouk riddim,13213528.829761902,131,107.9,1271
funk capixaba,13186835.5,34,146.65,1272
skansk musik,13184104.630952386,249,112.2,1273
british invasion,13042573.944444459,778,158.84,1274
hamburg electronic,12957115.807936504,90,116.82,1275
polish drill,12930776.833333332,109,82.11,1276
belgian rock,12913543.13441558,547,128.03,1277
pop quebecois,12900774.650000002,210,143.14,1278
new beat,12899784.75,28,104.89,1279
merseybeat,12893677.166666683,742,158.44,1280
czech folk,12882914.766666664,1261,109.91,1281
rap portuense,12857693.666666668,199,97.71,1282
malayalam hip hop,12755829.0,19,84.63,1283
rap inde,12747879.916053396,326,115.98,1284
indie quebecois,12664932.833333334,291,157.1,1285
rap ivoire,12651593.775,110,92.98,1286
brazilian house,12641069.500000006,126,118.51,1287
finnish pop punk,12627796.183333334,577,104.3,1288
paraguayan rock,12565685.433333337,2619,135.85,1289
argentine reggae,12531981.864285707,490,143.67,1290
kavkaz,12314276.677777775,1731,108.25,1291
electronica argentina,12291357.80833333,229,121.16,1292
shaabi,12263665.233333336,1880,86.21,1293
classic russian rock,12172519.477380957,791,110.9,1294
russian indie,12168665.833333332,426,135.12,1295
perth indie,12134027.057142865,159,115.72,1296
israeli indie,12068444.833333336,644,114.05,1297
rock andaluz,12051954.736507935,200,118.78,1298
okinawan folk,12047562.850000005,440,89.25,1299
rap lyonnais,12042131.395418473,188,121.14,1300
salsa puertorriquena,11957752.10373598,682,153.96,1301
indian lo-fi,11773910.666666666,41,164.85,1302
scottish indie rock,11770191.99999999,277,123.94,1303
glasgow indie,11770191.99999999,277,123.94,1304
musique urbaine kinshasa,11723502.603571428,136,111.42,1305
hong kong rock,11717390.166666666,425,109.71,1306
portuguese rock,11712280.399999995,752,109.87,1307
scouse rap,11711012.666666666,27,92.07,1308
musica catalana,11669377.666666672,178,116.35,1309
icelandic folk,11660331.199999968,3852,92.15,1310
wave,11567151.033333339,510,118.51,1311
finnish soul,11554200.233333336,487,95.21,1312
greek underground rap,11461433.600000005,883,122.68,1313
cincinnati rap,11458141.333333332,27,139.7,1314
finnish indie,11448963.302380955,519,108.76,1315
maluku pop,11406151.366666665,205,128.58,1316
dream trance,11364286.433333334,54,75.89,1317
peruvian rock,11340538.664053425,471,164.25,1318
jamaican hip hop,11312927.214280326,713,137.23,1319
lagu sabahan,11309305.633333333,371,107.32,1320
australian indie rock,11194604.583333338,118,117.63,1321
huapango,11178819.0,95,166.99,1322
classic polish pop,11138727.716666667,151,108.42,1323
danish metal,11132514.333333332,341,141.9,1324
rogaland musikk,11131143.90039682,373,121.89,1325
rap romantico,11098951.16666668,96,125.56,1326
kodomo no ongaku,11036514.0,61,68.46,1327
zxc,10995551.0,309,103.03,1328
oulu metal,10930838.75,256,81.76,1329
relaxative,10917019.142857144,91,100.7,1330
south african pop dance,10900651.31877389,811,104.18,1331
slovak rock,10899800.549999999,752,127.31,1332
lovers rock,10807020.851528933,2022,126.19,1333
bass house,10794166.84783274,982,110.02,1334
manguebeat,10789405.524087029,192,128.6,1335
barnemusikk,10788500.983333332,217,133.05,1336
trap maroc,10754559.219444448,1599,105.48,1337
fremantle indie,10590279.200000005,110,117.7,1338
emo trap en espanol,10533152.861111116,225,108.77,1339
christian alternative rock,10489330.574999996,354,134.99,1340
beatboxing,10328760.542857148,251,127.69,1341
deep german indie,10323825.0,382,134.06,1342
chinese hip hop,10297728.1047619,384,106.36,1343
ccm,10257801.783333324,404,135.34,1344
classic arab pop,10244029.366341988,1233,101.6,1345
halloween,10239644.0,18,117.17,1346
australian r&b,10160109.883333333,401,137.58,1347
bow pop,10140578.725793652,509,132.8,1348
cumbia ranchera,10030458.666666668,51,139.78,1349
smooth jazz,10019079.433838382,269,135.0,1350
socal pop punk,10004081.250000002,116,152.05,1351
russian dance pop,9999823.699999994,629,115.43,1352
underground amapiano,9943076.476190474,382,76.86,1353
disney espanol,9851706.25,46,132.26,1354
lithuanian hip hop,9840063.500000019,3215,116.4,1355
classic cantopop,9784395.011624657,1193,129.53,1356
bossa nova,9775575.027137922,381,72.44,1357
belgian indie,9755341.660606056,731,118.73,1358
rock urbano mexicano,9734945.666666664,162,175.49,1359
finnish metal,9725018.791269846,554,111.99,1360
electropowerpop,9708162.040203504,1016,116.59,1361
brisbane indie,9704207.434523808,441,128.71,1362
rock nacional brasileiro,9675495.21623377,152,169.66,1363
nasheed,9672834.41666667,72,97.44,1364
classic finnish rock,9632160.10357143,487,132.9,1365
nova musica pernambucana,9601069.099999996,159,118.69,1366
indiecoustica,9597211.500199787,850,148.58,1367
afro house,9587041.01926407,506,105.72,1368
qawwali,9567562.570238091,224,105.13,1369
k-indie,9564957.578571426,650,119.89,1370
worship,9560466.883333331,292,140.85,1371
rap pernambucano,9473105.599999996,158,118.51,1372
trance brasileiro,9397319.166666668,55,133.98,1373
leipzig electronic,9364788.666666668,163,97.18,1374
future bass,9343253.90147338,495,120.66,1375
bemani,9331906.000000002,58,99.6,1376
swedish jazz,9304211.628571428,157,132.77,1377
marathi pop,9262129.674999997,98,141.51,1378
yodeling,9242452.3,96,146.24,1379
rap underground argentino,9241057.111111112,219,86.26,1380
traditional country,9231803.8,94,146.56,1381
cowboy western,9231803.8,94,146.56,1382
trip hop,9181999.464123385,690,118.03,1383
novelty,9150161.0,26,139.23,1384
icelandic electronic,9146183.000000013,2202,90.93,1385
norwegian folk rock,9068196.357142858,525,145.98,1386
chicago soul,9002113.333333343,102,136.47,1387
bassline,8976595.776298704,229,107.66,1388
indonesian viral pop,8896061.833333334,152,105.59,1389
roots rock,8883727.800850611,747,160.08,1390
bangla pop,8860080.0,19,118.58,1391
funana,8851263.56547619,780,96.87,1392
symphonic rock,8775438.744877346,428,150.05,1393
german jazz rap,8755352.844444446,186,113.17,1394
south african trap,8675022.48060872,766,96.93,1395
southern rock,8667663.575,577,167.66,1396
greenlandic pop,8647828.000000002,121,54.26,1397
batida,8646256.732142856,748,91.3,1398
sinhala pop,8626371.5,45,95.02,1399
french reggae,8616394.977380952,221,126.26,1400
pop paraguayo,8597809.599999996,1835,135.95,1401
hokkaido indie,8535777.7,283,89.58,1402
russian punk rock,8508244.875,585,102.04,1403
afrikaans,8442923.250000002,586,142.86,1404
children's choir,8426934.314285714,95,102.51,1405
boom bap brasileiro,8388737.727380952,63,152.78,1406
future garage,8325819.38455434,729,153.64,1407
hard bass,8322429.133333324,411,127.98,1408
kentucky roots,8297771.525,22,170.64,1409
rap congolais,8226207.216666666,78,102.72,1410
traprun,8203728.505808086,622,115.31,1411
arab trap,8081277.249999999,213,122.46,1412
happy hardcore,8048673.222222222,205,99.88,1413
latvian hip hop,7960397.999999997,1817,115.06,1414
kentucky indie,7942677.0,13,159.23,1415
nova musica paulista,7858682.585317461,59,127.9,1416
indonesian emo,7856639.133333335,45,102.87,1417
p funk,7823556.5,109,130.17,1418
bulgarian trap,7784226.125000005,2506,108.31,1419
gospel,7730531.892156863,37,104.16,1420
vlaamse rap,7699217.983333334,378,123.24,1421
gypsy jazz,7657099.857142858,209,131.29,1422
post-screamo,7626858.645833336,93,136.53,1423
indonesian reggae,7578602.25,226,94.77,1424
norwegian house,7572875.949999998,125,112.0,1425
balkan hip hop,7560058.145238094,392,104.77,1426
finnish alternative rock,7543494.438095239,314,98.27,1427
indonesian post-hardcore,7535206.000000002,34,87.53,1428
cumbia uruguaya,7468334.9166666595,1010,125.37,1429
sertanejo tradicional,7389738.050000001,107,141.3,1430
rap politico,7370511.4895202005,94,162.69,1431
belgian singer-songwriter,7357298.32380952,273,110.51,1432
australian indigenous,7351515.516666666,147,127.7,1433
folklore paraguayo,7245935.166666661,466,144.87,1434
bayerischer rap,7236947.283333335,105,109.38,1435
festigal,7220742.933333337,288,92.88,1436
musique comorienne,7132144.849999999,96,102.53,1437
finnish idol pop,7032231.380303029,275,113.24,1438
spanish new wave,7010578.892857143,159,165.74,1439
chutney,7004747.517171716,103,121.95,1440
modern hard rock,6943183.199494947,250,128.6,1441
musik anak-anak,6938336.0,17,113.47,1442
singaporean hip hop,6923930.794164342,463,118.22,1443
northern irish indie,6914284.200000003,154,143.88,1444
arkansas hip hop,6815310.993589744,38,143.82,1445
k-pop reality show,6804805.333333332,135,151.07,1446
mgp,6782541.733333334,101,128.05,1447
thai worship,6711614.666666668,362,105.97,1448
pakistani folk,6669206.127380955,142,100.54,1449
welsh rock,6642529.133333334,120,156.77,1450
fnaf,6608515.25,186,157.35,1451
swedish americana,6606381.116666665,146,138.71,1452
canadian rock,6568096.391666663,299,133.67,1453
schweizer rap,6554461.007142854,459,114.77,1454
swiss hip hop,6538398.333333333,580,123.67,1455
christian pop,6531406.5,65,99.43,1456
hoerspiel,6508554.5,25,177.68,1457
mundart,6499992.723809526,602,128.74,1458
finnish punk,6463542.700000006,367,118.47,1459
korean underground rap,6459019.974999996,501,94.18,1460
cumbia sonidera,6436839.816666666,151,169.36,1461
deep rai,6406641.963186812,323,114.49,1462
nottingham indie,6397931.261904763,280,112.14,1463
folclore santiagueno,6380157.333333335,89,165.73,1464
folclore salteno,6372224.333333335,84,168.87,1465
italian disco,6335069.088888882,439,118.18,1466
rock brasiliense,6311786.416666666,63,197.54,1467
ghazal,6271499.616666667,78,117.65,1468
muziek voor kinderen,6266537.0,54,157.54,1469
nashville singer-songwriter,6226871.48690476,130,129.74,1470
gotlandsk musik,6216017.0,36,73.94,1471
sky room,6191400.909523809,245,121.8,1472
galician folk,6187039.0,10,107.6,1473
soca,6157013.224388112,239,113.19,1474
turkish reggae,6136758.166666668,38,80.08,1475
musica baiana,6100743.444444444,68,114.34,1476
tecnobrega,6081135.333333332,21,113.33,1477
himachali pop,6063254.666666667,22,119.73,1478
musiikkia lapsille,6054913.98030303,169,113.86,1479
classic mandopop,6046301.116386553,870,133.27,1480
sacramento hip hop,6006186.281818181,201,109.84,1481
kasi rap,5983512.394155847,411,82.29,1482
new weird finland,5973268.647619047,255,82.33,1483
classify,5968047.0,28,63.89,1484
japanese vtuber,5905073.75,17,74.24,1485
northern soul,5898951.633333336,890,154.77,1486
turkish soundtrack,5880716.833333333,33,141.03,1487
musica angolana,5861350.62916667,760,112.46,1488
progressive rock,5843219.193650793,332,136.92,1489
lagu timur,5812850.0,25,120.32,1490
danish singer-songwriter,5804386.666666669,147,98.65,1491
arab alternative,5770434.15476191,1073,102.14,1492
japanese ska,5767122.3,51,61.49,1493
scottish singer-songwriter,5706193.466666667,161,142.88,1494
japanese pop punk,5699927.047619042,220,140.0,1495
uzbek pop,5663761.266666668,1271,105.25,1496
lund indie,5624898.0,57,95.63,1497
smutny rap,5621730.5,40,133.28,1498
grime brasileiro,5586172.904761905,36,99.0,1499
lithuanian trap,5569304.4999999935,1521,102.76,1500
zimdancehall,5555256.499999999,250,128.14,1501
armenian pop,5549794.033333333,187,93.03,1502
laulaja-lauluntekija,5476653.983333332,291,112.34,1503
russian reggae,5428032.749999999,350,150.77,1504
thai folk pop,5428004.833333333,108,73.94,1505
new americana,5409837.646052642,599,168.58,1506
klubowe,5321989.333333331,153,106.69,1507
armenian hip hop,5288687.533333333,175,94.22,1508
drill tuga,5277557.083333337,303,106.2,1509
cdmx indie,5268329.0,15,85.13,1510
contemporary vocal jazz,5241791.143722943,363,160.53,1511
nueva cancion,5218110.927398199,533,136.63,1512
czech punk,5201920.916666667,497,103.05,1513
thai indie,5152435.3166666655,304,118.72,1514
puerto rican folk,5135562.699999999,50,111.28,1515
west coast trap,5117952.751190477,151,134.04,1516
rock alternatif francais,5109270.0,87,134.09,1517
carnaval limburg,5073597.0,35,120.74,1518
spiritual hip hop,5060146.500000001,59,125.59,1519
christmas product,5048456.0,51,146.2,1520
korean trap,5046789.0416666735,287,99.2,1521
musica jibara,5040737.3,31,96.23,1522
nuevo flamenco,4991726.119047618,190,130.13,1523
fake,4978554.5,52,68.56,1524
plena uruguaya,4964070.166666667,799,133.52,1525
detroit rock,4935385.5000000065,1090,171.46,1526
latin metal,4884935.399999997,190,161.2,1527
argentine heavy metal,4878921.999999997,189,161.11,1528
indonesian indie pop,4861268.583333334,101,118.64,1529
czech metal,4843546.5,205,87.15,1530
britpop revival,4842694.885714285,87,149.18,1531
hardcore techno,4810453.455555557,132,99.34,1532
pakistani electronic,4806063.333333333,120,29.71,1533
hjemmesnekk,4747979.5,62,86.55,1534
chamber pop,4738819.217117604,546,147.18,1535
swedish indie folk,4722819.833333332,739,164.9,1536
balkan trap,4691474.125,1180,97.84,1537
vlaamse kinderliedje,4688090.75,137,115.49,1538
neo-classical,4667103.938095239,195,151.76,1539
samba moderno,4640068.904761906,37,139.97,1540
gabba,4635979.855555557,124,95.6,1541
russian folk rock,4624054.041666666,416,100.56,1542
french indie folk,4606734.383333331,48,131.31,1543
dark disco,4606694.0,53,103.94,1544
norwegian jazz,4593585.3,123,78.56,1545
taiwan rock,4570860.499999999,167,98.3,1546
reunion pop,4524831.25,22,101.59,1547
graz indie,4502448.333333329,343,122.79,1548
oktoberfest,4469336.7,36,129.44,1549
rap paraense,4450068.0,5,114.8,1550
french tech house,4439359.5,50,143.68,1551
french techno,4439359.5,50,143.68,1552
canzone napoletana,4438705.128571428,85,116.44,1553
experimental r&b,4438304.697619052,297,132.56,1554
jump blues,4435840.714285716,47,103.06,1555
tatar pop,4429110.483333333,184,135.36,1556
belarusian pop,4398839.8380952375,791,111.53,1557
south african r&b,4390769.511904763,419,89.31,1558
russian pop punk,4387320.0,187,107.1,1559
reggae catala,4386501.833333334,83,126.81,1560
latinx alternative,4375415.714285719,426,172.81,1561
classic sierreno,4334433.983333333,17,123.76,1562
neon pop punk,4332648.357575759,543,114.51,1563
mumbai indie,4331374.2,18,70.39,1564
taiwan punk,4328016.866666666,466,122.12,1565
chinderlieder,4322372.407142857,437,125.03,1566
turkish punk,4311908.333333335,202,142.08,1567
pop violin,4307745.035714285,171,118.25,1568
north moroccan rap,4301965.083333337,854,103.51,1569
estonian electronic,4300479.8000000045,1455,108.48,1570
canto popular uruguayo,4297006.499999997,375,117.33,1571
folklore chileno,4232547.195652173,42,147.12,1572
french synthpop,4215918.063888887,364,116.16,1573
korean electronic,4212583.799999999,66,105.48,1574
hamburg indie,4206226.4,37,97.86,1575
trondersk musikk,4191925.4166666665,81,109.57,1576
swamp rock,4187897.2000000007,233,169.89,1577
golden age hip hop,4136801.4001082256,155,146.41,1578
russian metal,4120924.875,398,99.67,1579
russian ska,4120924.875,398,99.67,1580
horror punk,4120924.875,398,99.67,1581
funk melody,4119881.4166666674,60,127.75,1582
nantes indie,4113785.081349207,228,119.9,1583
popping,4101896.5500000003,142,161.54,1584
cumbia boliviana,4100634.375,522,106.04,1585
oxford indie,4091711.4999999977,409,167.05,1586
trova,4075477.658837594,507,135.49,1587
ukrainian indie,4063015.816666666,425,112.37,1588
folk rock italiano,4059049.023809524,180,121.51,1589
ye ye,4051150.9166666674,53,125.64,1590
italian electronica,4039817.866666666,40,100.75,1591
chinese melodic rap,4039125.0,82,123.94,1592
indian rock,4038715.635714285,40,101.7,1593
swiss pop,4020516.973809524,322,141.33,1594
kazakh indie,4005930.5833333344,451,110.71,1595
nordnorsk rap,4004292.7142857155,91,92.24,1596
romanian rock,3993272.6666666665,55,136.76,1597
hip hop quebecois,3979083.8333333335,44,145.77,1598
classic czech pop,3882562.6666666674,173,110.84,1599
hungarian indie,3875600.25,413,110.78,1600
fado,3864793.6666666656,226,124.07,1601
smooth saxophone,3857058.0727272714,56,96.32,1602
bangladeshi hip hop,3839894.5,16,71.75,1603
czsk reggae,3815246.416666668,509,114.54,1604
japanese chill rap,3788819.8333333335,34,121.38,1605
bisaya rap,3762638.3333333335,45,84.13,1606
uk tech house,3760782.4333333327,121,115.47,1607
latino comedy,3737455.9999999995,36,134.31,1608
classic disco polo,3734057.0,39,123.44,1609
lo-fi jazzhop,3713967.083333333,50,106.5,1610
slc indie,3712799.9999999995,7,181.86,1611
cartoon,3688906.300000002,94,143.47,1612
native american contemporary,3687707.0,22,136.68,1613
native american,3687707.0,22,136.68,1614
kansas city hip hop,3687663.9000000004,165,144.08,1615
latin jazz,3655010.6500000004,121,133.6,1616
turntablism,3601728.6916666618,334,111.01,1617
ndombolo,3581424.1869047633,92,121.35,1618
hyperpop francais,3578894.8888888885,32,139.22,1619
samba,3575451.4242657926,62,143.27,1620
dalarna indie,3573837.099999999,60,119.72,1621
rumba congolaise,3566110.4369047633,84,119.61,1622
waiata maori,3532039.7476190473,136,114.7,1623
kiwi rock,3464472.775,273,128.62,1624
swedish folk pop,3460452.35,41,123.9,1625
polish old school hip hop,3454995.0,56,143.48,1626
polish reggae,3453654.9166666665,119,120.4,1627
southern soul,3445523.9215049664,134,150.23,1628
lithuanian rock,3437496.25,423,75.81,1629
dangdut remix,3436974.3000000007,104,115.27,1630
classic romanian pop,3433605.75,350,81.02,1631
belly dance,3427190.4949134155,1678,110.47,1632
baltimore hip hop,3421668.6428571427,12,155.0,1633
ectofolk,3393159.204761906,155,109.05,1634
syrian pop,3358664.25,525,103.25,1635
soulful house,3352264.7341269855,213,124.36,1636
poezja spiewana,3351821.916666666,65,117.65,1637
merida indie,3345762.9999999995,39,136.92,1638
hi-nrg,3327774.3857142855,92,132.82,1639
tropicalia,3304248.523629149,25,104.48,1640
liverpool indie,3292680.2857142845,151,135.01,1641
rap nacional antigo,3236051.547077922,73,145.99,1642
lithuanian indie,3216233.683333333,469,107.75,1643
tech house,3201286.498412698,171,113.26,1644
folkmusik,3158097.4142857143,48,116.69,1645
uae indie,3153072.9999999995,88,72.91,1646
memphis soul,3146754.166666668,117,168.03,1647
semba,3141752.1333333333,377,115.97,1648
musica portuguesa contemporanea,3112097.0,53,85.45,1649
chill baile,3107639.8523809537,58,127.12,1650
south african alternative,3105284.1892857132,486,99.6,1651
acoustic cover,3077754.3666666667,64,194.05,1652
swiss reggae,3075901.5904761916,329,118.42,1653
danish indie pop,3066203.6666666665,77,120.3,1654
sung poetry,3053905.3,55,127.04,1655
latin house,3046690.4,83,125.53,1656
german alternative rock,3045437.5,35,155.94,1657
kizomba antigas,3044804.599999996,287,82.22,1658
german punk,3031445.5,34,155.44,1659
swedish underground rap,3015619.028571428,65,102.91,1660
ottawa rap,3013248.458333333,113,127.5,1661
shanty,3002594.0,7,144.57,1662
nordic soundtrack,2984195.75,13,102.23,1663
underground power pop,2981550.5,9,105.67,1664
vietnamese bolero,2968674.166666667,140,106.47,1665
japanese screamo,2965447.25,18,131.94,1666
japanese metalcore,2965447.25,18,131.94,1667
lo-fi chill,2964434.3666666653,175,132.82,1668
nu jazz,2927834.8835164844,324,167.69,1669
boom bap,2902359.328431373,70,113.57,1670
halifax indie,2901775.3333333335,28,118.75,1671
papuri,2890494.6666666665,87,140.03,1672
lata,2887215.0,19,127.79,1673
irish drill,2872145.3333333326,99,118.28,1674
anime drill,2872145.3333333326,99,118.28,1675
classic indo pop,2867903.4666666673,82,156.17,1676
j-reggae,2863904.5,20,122.0,1677
musica sinaloense,2836690.4,7,87.71,1678
jordanian pop,2836391.458333333,302,104.49,1679
detske pisnicky,2822532.166666667,30,145.53,1680
mande pop,2801924.4345238092,103,117.74,1681
rock mineiro,2801488.766233766,52,150.96,1682
gym hardstyle,2773293.0,53,146.11,1683
shatta,2767851.1714285715,98,135.46,1684
liedermacher,2757322.750000001,105,141.92,1685
assamese pop,2740741.75,50,91.42,1686
cumbia amazonica,2739982.2142857146,31,97.35,1687
alternative country,2734982.005716506,290,157.78,1688
kizomba cabo-verdiana,2699811.1999999983,305,100.86,1689
finnish edm,2656725.5833333335,84,122.14,1690
jazz boom bap,2654098.2999999984,126,108.63,1691
tallava,2651584.200000002,158,130.02,1692
power metal,2640401.822619047,166,133.92,1693
kermis,2639183.1333333333,25,133.84,1694
electra,2637780.7823763946,368,134.32,1695
korean singer-songwriter,2620650.916666667,119,145.6,1696
rap italiano old school,2593490.052380952,17,118.82,1697
japanese indie pop,2578976.0,36,128.33,1698
korean indie rock,2575901.0833333326,132,140.98,1699
austrian indie,2572841.416666666,205,132.93,1700
swiss rock,2567193.8500000006,175,128.42,1701
afghan pop,2555459.6527777775,69,123.94,1702
kolsche karneval,2553711.5,19,160.37,1703
rap montrealais,2550610.6749999993,68,129.51,1704
rap tuga underground,2548862.1666666665,95,106.4,1705
swedish garage rock,2541693.9999999995,48,117.98,1706
argentine alternative rock,2537207.875000001,61,126.89,1707
double drumming,2528427.4015151504,659,165.18,1708
english indie rock,2528415.1523809526,80,185.55,1709
canzone d'autore,2526287.3571428573,95,144.81,1710
italian tenor,2524109.603571429,103,134.06,1711
polish rock,2519506.25,45,113.56,1712
sigilkore,2508511.5,167,125.17,1713
disco polo,2499527.0,15,154.2,1714
balearic,2498522.6333333333,42,121.67,1715
classic greek pop,2479249.25,269,99.58,1716
norsk lovsang,2476773.866666667,90,124.52,1717
gospel singers,2476773.866666667,90,124.52,1718
classic colombian pop,2473210.683333333,99,122.8,1719
reggae rock,2467880.0,50,157.9,1720
vaqueiro,2460078.0,11,177.64,1721
nz christian,2441366.8642857154,218,112.7,1722
macedonian folk,2421945.5952380938,863,103.89,1723
thai folk rock,2414690.5,147,109.81,1724
belarusian indie,2409897.833333333,240,124.46,1725
dutch idol pop,2401180.3333333335,21,90.67,1726
classic belgian pop,2394565.233333333,229,115.86,1727
finnish heavy metal,2381221.116666667,127,126.58,1728
latin afrobeat,2364659.786589576,580,146.29,1729
classical tenor,2357942.736904762,104,135.06,1730
italian progressive rock,2353499.5,51,129.1,1731
cuban alternative,2351662.2,48,121.48,1732
swiss trap,2349294.9642857146,105,102.5,1733
maltese pop,2344967.3333333335,141,121.33,1734
flamenco fusion,2333873.7428571433,40,125.83,1735
chicha,2326098.0296992483,105,156.24,1736
neo r&b,2285201.4,53,105.15,1737
hungarian underground rap,2281425.616666667,285,139.31,1738
bronx drill,2268781.475,26,120.38,1739
ukrainian folk rock,2268017.5166666666,232,111.04,1740
uwielbienie,2267344.0,12,164.0,1741
spanish reggae,2266132.333333333,23,99.61,1742
soul flow,2262516.9878787883,112,67.06,1743
violao,2261840.5999999996,19,81.63,1744
comic metal,2251219.458333333,27,131.7,1745
cantautora argentina,2247318.7857142854,27,137.15,1746
nz dnb,2246833.166666667,83,87.87,1747
comedia,2238815.0,7,115.86,1748
classic country pop,2226714.4142857143,131,160.35,1749
cypriot pop,2213160.283333332,278,115.43,1750
sleep,2206065.3000000003,35,134.17,1751
samurai trap,2203650.3,18,115.83,1752
minimal techno,2203549.4412698396,151,133.85,1753
ukrainian post-punk,2190635.8333333335,83,82.98,1754
upstate ny rap,2184855.916666667,14,127.79,1755
bossbeat,2169628.958333333,53,140.02,1756
funky house,2155028.428571428,142,110.6,1757
oc rap,2142914.892307693,45,142.64,1758
malaysian tamil pop,2139202.9999999995,56,75.86,1759
tololoche,2131707.125,15,129.33,1760
american choir,2129877.714285714,14,156.0,1761
chillwave,2118387.6019480517,335,132.92,1762
estonian rock,2116167.7499999995,915,125.1,1763
german metalcore,2103377.333333333,14,136.93,1764
jazz trumpet,2095173.12012987,32,148.09,1765
german boom bap,2089981.8809523815,32,79.66,1766
dancehall guyanaise,2082176.9214285715,57,131.12,1767
harlem renaissance,2082084.342857143,22,155.32,1768
soul blues,2073691.3314213564,176,207.93,1769
chinese drama ost,2067860.6833333338,78,140.4,1770
funky tech house,2067153.4880952388,184,116.95,1771
classic russian pop,2062707.2833333332,118,104.86,1772
lebanese pop,2060974.0689393946,312,118.83,1773
new orleans jazz,2060467.1428571427,21,153.57,1774
dixieland,2056824.1428571427,20,153.0,1775
soul jazz,2049828.5111111114,57,165.84,1776
electro swing,2045326.3166666662,188,173.48,1777
bulgarian rock,2040726.2499999986,700,89.75,1778
jazz rap,2037079.8857142858,32,153.69,1779
slovak punk,2028787.1333333333,249,129.14,1780
musica paranaense,2025308.6000000003,38,129.29,1781
russian synthpop,2024731.133333333,65,89.42,1782
folktronica,2020556.6022727275,37,140.86,1783
progressive metal,2011559.4285714298,82,139.52,1784
jazz guitar,2006184.444444445,42,153.64,1785
dutch moombahton,2004650.8,67,141.82,1786
rap guineen,2001915.0,53,87.02,1787
rap geek,1954233.5,7,179.43,1788
karneval,1949022.0,14,162.93,1789
rawstyle,1940601.7395721923,52,84.13,1790
