genre,total_streams,chart_appearances,avg_position,rank
brazilian edm,451558456.1227713,3218,106.88,347
belgian hip hop,446976267.2699836,7425,101.63,348
spanish hip hop,446313046.7697065,5239,122.32,349
modern country rock,445764028.8843072,7206,106.61,350
pagode novo,445188859.7833338,1391,118.9,351
belgian edm,442477040.99163467,12947,87.01,352
dark trap,441105627.4750003,5062,104.57,353
dembow,440145205.506946,17885,101.42,354
czsk hip hop,439724020.9023819,32414,100.26,355
dmv rap,439140758.10169196,7901,97.59,356
german techno,438263638.7810784,19166,88.43,357
plugg,437350721.29964674,4617,119.01,358
greek hip hop,435897349.99610186,20574,91.08,359
la indie,435036127.9388887,4048,106.81,360
russian trap,433353726.2646824,17409,99.94,361
swedish trap,431696393.6325387,7155,94.43,362
singer-songwriter,427590775.9214129,6910,127.79,363
drill espanol,423692444.52582115,2498,100.98,364
belgian pop,421637563.5397249,6770,98.64,365
german underground rap,419027588.08528197,3502,107.42,366
afropop,413100512.79580265,12482,93.19,367
bubblegrunge,409096371.26111245,3635,81.07,368
alternative rock,405679451.66606617,7341,143.94,369
classic swedish pop,403275467.00277805,4823,111.1,370
eurodance,402777414.3330251,9318,100.25,371
musica chihuahuense,397510518.51666677,750,55.32,372
argentine rock,394775662.4551581,14958,151.01,373
g funk,394199855.83897233,15916,134.34,374
tagalog rap,393229281.2000004,2890,96.72,375
japanese singer-songwriter,392775357.6047614,4168,105.27,376
malaysian pop,391617131.1163864,8521,112.48,377
thai indie pop,389586939.4666664,7969,96.36,378
yacht rock,388430936.1730169,8155,137.18,379
rap belge,386217412.5314925,6877,101.83,380
rave funk,385099280.7226193,1350,96.17,381
forro de favela,384451497.41428554,917,96.28,382
swedish pop rap,382973575.7178573,4801,100.25,383
funk bh,379215508.43488467,1581,95.7,384
trap colombiano,375819331.2738098,2175,82.79,385
hard rock,372070675.8699031,7811,147.16,386
new jersey rap,371593886.0370245,9188,94.31,387
weirdcore,371293193.0,1501,106.58,388
pop house,370373665.7851421,9915,97.41,389
batidao romantico,365950557.9882112,1905,89.28,390
russian pop,361784908.9825391,14013,109.44,391
disco,358760938.333062,8030,88.41,392
irish pop,352828538.02500117,8362,103.33,393
trap baiano,352317342.6378786,1396,105.48,394
turkish singer-songwriter,352026806.96666676,2484,115.15,395
sad lo-fi,351686102.57857144,2727,128.79,396
j-acoustic,348983144.21666664,3146,89.94,397
indian instrumental,346897362.6932543,2184,102.06,398
hip hop tuga,346560649.178651,9997,98.97,399
deep talent show,346164556.1428574,4268,84.54,400
rkt,344733611.89722204,2831,95.07,401
german alternative rap,342813057.6095235,2778,100.71,402
pakistani pop,340881821.20119053,2090,99.47,403
old school rap francais,340534467.8481242,4291,100.56,404
drill,338466713.77462924,3691,105.25,405
polish alternative rap,336888659.3000004,4485,104.98,406
russelater,336638878.6365083,4252,103.97,407
san diego rap,333253085.3333333,395,123.37,408
beatlesque,330217836.80079323,10069,128.74,409
drill brasileiro,330150384.9047619,1597,87.08,410
rap cearense,325756926.74444455,1156,105.19,411
neo-psychedelic,322855323.9791667,1457,148.32,412
australian psych,322332876.8055556,1369,155.55,413
greek drill,319911762.4666664,8528,90.05,414
indonesian pop rock,316885873.64999986,3837,130.44,415
american folk revival,312683367.5833335,1135,103.4,416
italo dance,311752807.45443684,6354,96.09,417
video game music,310930168.8376695,4302,78.72,418
indonesian folk pop,310120321.6499994,2230,101.75,419
alternative pop rock,308367087.48333335,1628,108.81,420
grunge,306332466.43055546,2496,150.72,421
speedrun,305324083.91840583,4208,78.64,422
ninja,305163589.1131277,14629,91.96,423
pop virale italiano,305066954.967857,1757,101.7,424
hungarian pop,303227178.5500002,13399,101.64,425
oklahoma country,303142576.9749999,776,123.41,426
champeta,302777229.2211604,15190,101.33,427
trap carioca,301689082.3422618,1183,100.2,428
dutch house,301681040.8211271,12414,97.12,429
australian indie,299318899.7248714,8316,99.57,430
canadian old school hip hop,298159474.8606063,2747,77.02,431
french indie pop,296336352.54166824,7379,87.23,432
rap sardegna,296202650.3833334,1642,91.97,433
christlicher rap,294388943.17777777,1717,114.08,434
czech hip hop,294025757.81904924,21731,100.39,435
indonesian r&b,293387592.4555553,2317,109.3,436
pinoy indie,286690042.85,1782,93.66,437
tamil pop,284398811.633145,1073,110.23,438
k-rap,283436254.22903764,4862,104.68,439
rock-and-roll,283129081.20277774,1965,107.42,440
yakut pop,282605170.7763153,8207,75.2,441
norwegian indie,281010836.239322,5661,107.21,442
r&b argentino,278889308.6789681,4081,90.19,443
cuarteto,278526420.50000006,1069,118.62,444
cumbia,276452390.60588926,2075,94.09,445
emo,276140673.0547619,4597,106.62,446
romanian pop,275350349.19676423,6672,106.74,447
pinoy pop punk,274651928.0,1345,97.66,448
cdo indie,274514905.4999997,1065,80.27,449
spanish pop rock,272708701.27266467,5154,125.1,450
c-pop,272297242.1663867,22983,114.05,451
suomi rock,271061508.9826844,11295,103.62,452
melbourne bounce international,270702459.2826345,6689,99.0,453
chicago house,269299548.5555556,1106,122.61,454
israeli mediterranean,268743803.6999995,10832,93.36,455
drift phonk,266495724.77777776,3820,108.99,456
kosovan pop,265442304.2767677,3183,96.82,457
variete francaise,263657573.60000035,2723,105.6,458
disco house,261964928.09359732,10608,89.29,459
romanian trap,260556515.51666686,9694,96.9,460
drill chileno,259866777.6482299,1748,71.12,461
mpb,259786823.3708746,2160,116.51,462
funk das antigas,258011821.52579418,2683,88.25,463
norwegian pop rap,256022595.79682514,4000,94.97,464
chicago drill,252860025.74909782,2586,99.69,465
bases de freestyle,251684658.05277783,3367,93.79,466
deep groove house,251442000.1927176,7580,80.99,467
movie tunes,250429663.26666638,3062,112.27,468
funk mandelao,248601951.60476202,840,88.89,469
swedish drill,247792974.50634977,4438,94.97,470
mississippi hip hop,247452898.96075544,4075,108.53,471
swedish synthpop,247390981.04825377,12529,92.83,472
partyschlager,245828706.0833333,873,102.49,473
funk rj,244854172.04285708,362,87.3,474
greek pop,243894317.18452418,12696,101.22,475
j-poprock,242422736.41244572,7130,105.02,476
black americana,242225243.25364766,1772,108.99,477
modern salsa,241217272.00396898,11085,114.13,478
turkce kadin rap,240169627.56666684,977,90.48,479
fotbollslatar,239205863.19722238,3098,99.82,480
japanese soul,239127952.91904774,1449,100.47,481
pop electronico,238935236.71946174,1545,78.04,482
downtempo,238907981.80119336,7756,103.88,483
alternative metal,237448517.18333274,9334,139.74,484
comic,237357806.2452381,870,81.39,485
cumbia villera,237015034.20000035,4604,127.68,486
outlaw country,235014177.848718,1615,109.28,487
venezuelan hip hop,234321599.32778525,4836,96.99,488
tropical alternativo,233782492.7071429,1413,73.17,489
classic italian pop,233374505.85119063,2818,112.54,490
tennessee hip hop,233038990.20036998,3071,107.73,491
indie r&b,228314695.38364932,1614,109.71,492
